// SYSTEM: ELECTRICAL PROPERTIES (CONDUCTION, RESISTANCE, AND BREAKDOWN CORRELATIONS)
// UNITS: S/m (Conductivity), Ω·m (Resistivity), MV/m (Dielectric Strength / Breakdown Voltage)

Silver conductivity: 6.30e7 S/m (at 20°C) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Battery Acid vs Window Glass dissolution time: 99999.0 min (Immune: silicate structure non-reactive to H2SO4) | Source: Corning Glass Data | Certainty: measured
Battery Acid vs Biological Tissue dissolution time: 1.5 min (Rapid chemical burning, severe charring) | Source: Journal of Forensic Sciences | Certainty: approx

Gastric Acid pH: 1.5 pH | Source: Guyton and Hall Textbook of Medical Physiology | Certainty: measured
Gastric Acid vs Structural Steel dissolution time: 180.0 min (Slow steady etching, continuous hydrogen release) | Source: Experimental Gastric Studies | Certainty: approx
Gastric Acid vs Aluminium dissolution time: 240.0 min (Gradual pitting across the surface) | Source: Experimental Gastric Studies | Certainty: approx
Gastric Acid vs Titanium Alloy dissolution time: 99999.0 min (Immune: completely bio-compatible resistance) | Source: Medical Materials Journal | Certainty: measured
Gastric Acid vs Window Glass dissolution time: 99999.0 min (Immune) | Source: Corning Glass Data | Certainty: measured
Gastric Acid vs Biological Tissue dissolution time: 15.0 min (Gradual enzymatic and acid digestion breakdown) | Source: Guyton and Hall Textbook of Medical Physiology | Certainty: approx

Liquid Drain Cleaner pH: 14.0 pH | Source: Industrial Chemical Safety Data Sheets | Certainty: measured
Liquid Drain Cleaner vs Structural Steel dissolution time: 99999.0 min (Immune: highly alkaline environments passivate iron) | Source: Corrosion Engineering Manual | Certainty: measured
Liquid Drain Cleaner vs Aluminium dissolution time: 8.0 min (Violent exothermic reaction, rapid aluminate conversion) | Source: Metal Corrosion Rates | Certainty: measured
Liquid Drain Cleaner vs Titanium Alloy dissolution time: 1440.0 min (Slow alkali attack over long exposures) | Source: Titanium Metals Corp Data | Certainty: approx
Liquid Drain Cleaner vs Window Glass dissolution time: 10080.0 min (Slow etching of standard glass matrix over days) | Source: Corning Glass Data | Certainty: approx
Liquid Drain Cleaner vs Biological Tissue dissolution time: 0.5 min (Near-instantaneous liquefaction necrosis of lipids/flesh) | Source: Journal of Forensic Sciences | Certainty: measured

Bleach pH: 13.0 pH | Source: Clorox Chemical Specification Sheets | Certainty: measured
Bleach vs Structural Steel dissolution time: 1440.0 min (Accelerates rust/oxidation rather than direct acidic eating) | Source: ASM International Material Data | Certainty: approx
Bleach vs Aluminium dissolution time: 120.0 min (Steady caustic pitting and white oxide crust formation) | Source: Metal Corrosion Rates | Certainty: approx
Bleach vs Titanium Alloy dissolution time: 99999.0 min (Immune) | Source: Titanium Metals Corp Data | Certainty: measured
Bleach vs Window Glass dissolution time: 99999.0 min (Immune) | Source: Corning Glass Data | Certainty: measured
Bleach vs Biological Tissue dissolution time: 10.0 min (Saponification of skin oils, gradual tissue bleaching/irritation) | Source: Industrial Chemical Safety Data Sheets | Certainty: approx

Pure Water pH: 7.0 pH | Source: IUPAC Chemical Baseline | Certainty: measured
Pure Water vs Structural Steel dissolution time: 525600.0 min (Takes up to a year for standard ambient oxygen-rusting to compromise structural thickness) | Source: ASM International Material Data | Certainty: gameplay-tuned
Pure Water vs Aluminium dissolution time: 99999.0 min (Immune under standard non-saline conditions) | Source: Metal Corrosion Rates | Certainty: measured
Pure Water vs Titanium Alloy dissolution time: 99999.0 min (Immune) | Source: Titanium Metals Corp Data | Certainty: measured
Pure Water vs Window Glass dissolution time: 99999.0 min (Immune) | Source: Corning Glass Data | Certainty: measured
Pure Water vs Biological Tissue dissolution time: 99999.0 min (Immune) | Source: IUPAC Chemical Baseline | Certainty: measured


// SYSTEM: HIGH-RESOLUTION ELEVATION AND BALLISTIC COEFFICIENT SCALING TABLES
// UNITS: Elevation (metres), Density (kg/m³), Lift/Drag Efficiency Multipliers

Elevation 0m density: 1.2250 kg/m³ (Baseline sea level) | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 0m drag multiplier: 1.000 (Standard projectile decay / baseline physics engine behavior) | Source: NASA Glenn Research Center | Certainty: measured

Elevation 1000m density: 1.1117 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 1000m drag multiplier: 0.907 (Throws, arrows, and bullets experience 9.3% less aerodynamic drag) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 2000m density: 1.0066 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 2000m drag multiplier: 0.821 (Noticeable range expansion for long-range projectiles) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 3000m density: 0.9093 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 3000m drag multiplier: 0.742 (Projectiles maintain velocity significantly longer) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 4000m density: 0.8194 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 4000m drag multiplier: 0.668 (Helicopter blade performance severely crippled, gliders descend faster) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 5000m density: 0.7364 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 5000m drag multiplier: 0.601 (Engine combustion starts choking due to air volume drop) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 6000m density: 0.6601 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 6000m drag multiplier: 0.538 (Terminal velocity of falling actors increases significantly) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 7000m density: 0.5900 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 7000m drag multiplier: 0.481 (Wind resistance profiles drop below half of sea-level benchmarks) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 8000m density: 0.5258 kg/m³ (The Death Zone boundary) | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 8000m drag multiplier: 0.429 (Objects thrown travel ~2.3x further before landing due to reduced drag curves) | Source: NASA Glenn Research Center | Certainty: gameplay-tuned

Elevation 9000m density: 0.4671 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 9000m drag multiplier: 0.381 (Shockwave expansion speeds from explosions alter due to low density) | Source: NASA Glenn Research Center | Certainty: approx

Elevation 10000m density: 0.4135 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 10000m drag multiplier: 0.337 (Commercial flight ceiling baseline limits) | Source: International Standard Atmosphere (ISA) | Certainty: measured

Elevation 11000m density: 0.3648 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 11000m drag multiplier: 0.297 (Sound propagation distances shrink due to thinner molecular medium) | Source: NASA Glenn Research Center | Certainty: approx

Elevation 12000m density: 0.3119 kg/m³ | Source: International Standard Atmosphere (ISA) | Certainty: measured
Elevation 12000m drag multiplier: 0.254 (Aerodynamic lift surfaces fail completely without extreme speed profiles) | Source: NASA Glenn Research Center | Certainty: measured


// SYSTEM: LIGHT BEAM PATHWAY BENDING AND ENERGY DENSITY EQUATIONS
// UNITS: Refractive Index (Ratio multiplier), Dielectric Constant (Relative Permittivity value at 1MHz)

Vacuum refractive index: 1.0000 n | Source: NIST Reference Data | Certainty: measured
Vacuum dielectric constant: 1.0000 εr (Zero ray deflection, 100% laser beam power preservation) | Source: NIST Reference Data | Certainty: measured

Dry Air refractive index: 1.0003 n | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Dry Air dielectric constant: 1.0006 εr (Near-perfect baseline ray tracing across standard game maps) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured

Water Ice refractive index: 1.3100 n | Source: Earth Sciences Optical Database | Certainty: measured
Water Ice dielectric constant: 3.2000 εr (Internal reflection angles create distinct frosty scatter patterns) | Source: High-Voltage Glaciology Data | Certainty: approx

Pure Water refractive index: 1.3330 n | Source: NIST Reference Data | Certainty: measured
Pure Water dielectric constant: 80.0000 εr (High beam bending, dramatic underwater optical magnification shifts) | Source: IEEE Dielectrics Database | Certainty: measured

Window Glass refractive index: 1.5200 n | Source: Schott Optical Glass Catalog | Certainty: measured
Window Glass dielectric constant: 5.0000 εr (Standard sniper scope/window path bending offset rules) | Source: Electronic Engineers Handbook | Certainty: measured

Flint Glass refractive index: 1.6600 n | Source: Schott Optical Glass Catalog | Certainty: measured
Flint Glass dielectric constant: 7.0000 εr (High dispersion prism splitting for white laser mechanics) | Source: Schott Optical Glass Catalog | Certainty: measured

Synthetic Sapphire refractive index: 1.7700 n | Source: Rubicon Crystals Properties | Certainty: measured
Synthetic Sapphire dielectric constant: 10.0000 εr (High lens durability, withstands extreme thermal beam focus spikes) | Source: Materials Science Journal | Certainty: measured

Natural Diamond refractive index: 2.4170 n | Source: Gemological Institute of America Database | Certainty: measured
Natural Diamond dielectric constant: 5.7000 εr (Maximum natural light bending, total internal light entrapment) | Source: Physical Review Materials | Certainty: measured


// SYSTEM: ROLLING RESISTANCE MOMENTUM LOSS MATRIX
// UNITS: c_rr (Dimensionless Coefficient). Force loss = c_rr * Normal Force.

Railroad Steel Wheel on Steel Rail c_rr: 0.0010 (at 20°C) | Source: Kent's Mechanical Engineers' Handbook | Certainty: measured
Low-Resistance Car Tyre on Dry Asphalt c_rr: 0.0100 (at 20°C) | Source: Society of Automotive Engineers (SAE) | Certainty: measured
Standard Car Tyre on Dry Concrete c_rr: 0.0150 (at 20°C) | Source: Bosch Automotive Handbook | Certainty: measured
Standard Car Tyre on Wet Asphalt c_rr: 0.0160 (Heavy water displacement increases rolling drag slightly) | Source: Tire Science and Technology | Certainty: approx
Car Tyre on Loose Gravel c_rr: 0.0250 (Energy lost to displacing stones and debris) | Source: dynamic-traction-models | Certainty: approx
Car Tyre on Sand c_rr: 0.1500 (Tires sink and push a wave of sand forward) | Source: US Army Corps of Engineers Technical Report | Certainty: measured
Car Tyre on Solid Ice c_rr: 0.0015 (Extreme low surface resistance, near-infinite rolling momentum) | Source: Friction and Lubrication Studies | Certainty: approx
Car Tyre on Loose Snow c_rr: 0.0400 (Compacting snow under tire weight drains kinetic energy) | Source: Cold Regions Science and Technology | Certainty: approx
Heavy Truck Tyre on Mud c_rr: 0.2000 (Severe viscous drag, risk of rotational lock without high torque) | Source: Journal of Terramechanics | Certainty: measured
Solid Crawler Tracks on Hard Ground c_rr: 0.0500 (Internal linkage friction forces steady energy bleed) | Source: Institution of Mechanical Engineers | Certainty: approx
Large Tractor Tyre on Soft Clay c_rr: 0.2200 (Extreme deformation of both soil matrix and tire wall) | Source: Journal of Terramechanics | Certainty: measured


// SYSTEM: LIQUID PROFILE BEADING AND SURFACE COATING MATRIX
// UNITS: Surface Tension (mN/m at 20°C), Wetting Class (Verdict for shader alignment)

Crude Petroleum Oil surface tension: 30.0 mN/m | Source: fluid-mechanics-data | Certainty: measured
Crude Petroleum Oil wetting class: High (Spreads into thin iridescent layers, clings permanently to meshes) | Source: fluid-mechanics-data | Certainty: measured

Soapy Water surface tension: 25.0 mN/m | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Soapy Water wetting class: High (Flattens completely, bypasses tight structural tolerances to seep down) | Source: CRC Handbook of Chemistry and Physics | Certainty: gameplay-tuned

Pure Fresh Water surface tension: 72.8 mN/m | Source: NIST Reference Data | Certainty: measured
Pure Water wetting class: Medium (Forms clean independent droplets, beads realistically on hydrophobic coatings) | Source: NIST Reference Data | Certainty: measured

Sea Water surface tension: 74.0 mN/m | Source: UNESCO Oceanographic Tables | Certainty: measured
Sea Water wetting class: Medium (Beads cleanly, evaporates to leave high-opacity white sodium crystalline borders) | Source: UNESCO Oceanographic Tables | Certainty: approx

Liquid Mercury surface tension: 486.5 mN/m | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Liquid Mercury wetting class: Zero (Never wets surfaces, rolls as distinct non-breaking metallic micro-spheres) | Source: Liquid Metal Physics | Certainty: measured

Molten Volcanic Glass surface tension: 350.0 mN/m | Source: Journal of Geophysical Research | Certainty: approx
Molten Volcanic Glass wetting class: Low (Forms thick, rounded viscous blobs that freeze into jagged teardrops) | Source: Volcanology Data Systems | Certainty: gameplay-tuned

Heavy Fuel Oil surface tension: 35.0 mN/m | Source: Marine Engineering Standards | Certainty: measured
Heavy Fuel Oil wetting class: High (High-viscosity coating, leaves thick opaque black stains on impact zones) | Source: Marine Engineering Standards | Certainty: approx

Molten Lava surface tension: 400.0 mN/m | Source: Magma Thermodynamics Quarterly | Certainty: approx
Molten Lava wetting class: Low (Thick bubbling crust forms instantly, limits spreading capability over edges) | Source: Magma Thermodynamics Quarterly | Certainty: gameplay-tuned


// SYSTEM: MATERIAL DIMENSIONAL ALTERATION UNDER THERMAL VARIATION
// UNITS: Coefficient (10⁻⁶/K). Change in length = Length * Coefficient * Change in Temperature.

Fused Quartz Glass thermal expansion: 0.59 10⁻⁶/K | Source: Heraeus Quartz Material Data | Certainty: measured
Industrial Diamond thermal expansion: 1.00 10⁻⁶/K | Source: Properties of Diamond Database | Certainty: measured
Pyrex Glass thermal expansion: 3.20 10⁻⁶/K | Source: Corning Material Specifications | Certainty: measured
Window Glass thermal expansion: 9.00 10⁻⁶/K (High risk of shattering if heated unevenly or rapidly quenched) | Source: Schott Glass Catalog | Certainty: measured
Oak Wood along grain thermal expansion: 5.00 10⁻⁶/K | Source: USDA Wood Handbook | Certainty: approx
Oak Wood across grain thermal expansion: 30.00 10⁻⁶/K (Anisotropic: warps and twists heavily depending on moisture/heat axis) | Source: USDA Wood Handbook | Certainty: measured
Pure Iron thermal expansion: 11.80 10⁻⁶/K | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Structural Steel thermal expansion: 12.00 10⁻⁶/K (Triggers track buckling and structural beam collapse in fire zones) | Source: AISC Steel Construction Manual | Certainty: measured
Pure Copper thermal expansion: 16.50 10⁻⁶/K | Source: NIST Reference Data | Certainty: measured
Aluminium Alloy thermal expansion: 23.10 10⁻⁶/K | Source: ASM International Material Data | Certainty: measured
Pure Lead thermal expansion: 28.90 10⁻⁶/K | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Pure Zinc thermal expansion: 30.20 10⁻⁶/K | Source: Metal Properties Handbook | Certainty: measured
Water Ice thermal expansion: 51.00 10⁻⁶/K (Contracts on heating up to 0°C, expands dramatically when freezing) | Source: High-Voltage Glaciology Data | Certainty: measured
Natural Vulcanized Rubber thermal expansion: 80.00 10⁻⁶/K | Source: Rubber Manufacturers Association | Certainty: approx
Teflon thermal expansion: 120.00 10⁻⁶/K (High volumetric shift in machinery assemblies when thermal parameters change) | Source: DuPont Material Properties Data | Certainty: measured


// SYSTEM: CRUSH, SNAP, AND DEFORMATION THRESHOLDS FOR ALL CORE MATERIALS
// UNITS: Yield Strength (MPa: permanently deforms), Ultimate Tensile Strength (MPa: snaps/fails completely)

Aerogel yield strength: 0.02 MPa | Source: NASA Lawrence Livermore Data | Certainty: measured
Aerogel ultimate strength: 0.04 MPa (Crushes under minor physical player interaction) | Source: NASA Lawrence Livermore Data | Certainty: measured

Styrofoam yield strength: 0.20 MPa | Source: Packaging Materials Database | Certainty: approx
Styrofoam ultimate strength: 0.40 MPa (Easily snapped or compressed permanently by hand) | Source: Packaging Materials Database | Certainty: approx

Oak Wood yield strength: 35.00 MPa | Source: USDA Wood Handbook | Certainty: measured
Oak Wood ultimate strength: 40.00 MPa (Splits cleanly along grain lines when boundaries are exceeded) | Source: USDA Wood Handbook | Certainty: measured

Pure Water yield strength: 0.00 MPa (Liquid state) | Source: IUPAC Chemical Baseline | Certainty: measured
Pure Water ultimate strength: 0.00 MPa (Yields instantly to all physical intersections) | Source: IUPAC Chemical Baseline | Certainty: measured

Concrete yield strength: 15.00 MPa (In compression) | Source: ACI Building Code Standards | Certainty: measured
Concrete ultimate strength: 4.00 MPa (In tension: snaps instantly under pulling/bending forces unless reinforced) | Source: ACI Building Code Standards | Certainty: measured

Window Glass yield strength: 0.00 MPa (Brittle material: zero yield deformation phase) | Source: Corning Glass Data | Certainty: measured
Window Glass ultimate strength: 70.00 MPa (Shatters instantly into sharp shards once limit is crossed) | Source: Corning Glass Data | Certainty: measured

Aluminium Alloy yield strength: 276.00 MPa | Source: ASM International Material Data | Certainty: measured
Aluminium ultimate strength: 310.00 MPa (Dents heavily under blunt load before tearing open) | Source: ASM International Material Data | Certainty: measured

Pure Iron yield strength: 50.00 MPa | Source: Metal Properties Handbook | Certainty: measured
Pure Iron ultimate strength: 250.00 MPa (Very soft, malleable metal; bends out of shape easily before breaking) | Source: Metal Properties Handbook | Certainty: approx

Pure Lead yield strength: 10.00 MPa | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Pure Lead ultimate strength: 18.00 MPa (Extremely malleable; deforms under minor hammer blows) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured

Pure Gold yield strength: 20.00 MPa | Source: Gold Refiners Material Specs | Certainty: measured
Pure Gold ultimate strength: 120.00 MPa (Easily scratched, scored, or bent out of shape) | Source: Gold Refiners Material Specs | Certainty: measured

Bronze yield strength: 150.00 MPa | Source: Metallurgy Design Manual | Certainty: approx
Bronze ultimate strength: 300.00 MPa (Classic historical weapon tier; holds edge well but deforms under iron impacts) | Source: Metallurgy Design Manual | Certainty: approx

Pure Copper yield strength: 70.00 MPa | Source: NIST Reference Data | Certainty: measured
Pure Copper ultimate strength: 220.00 MPa (Highly ductile; stretches out into wires before snap point) | Source: NIST Reference Data | Certainty: measured

Structural Steel yield strength: 250.00 A36 MPa | Source: AISC Steel Construction Manual | Certainty: measured
Structural Steel ultimate strength: 400.00 A36 MPa (The standard structural baseline for heavy military/civil buildings) | Source: AISC Steel Construction Manual | Certainty: measured

Titanium Alloy yield strength: 880.00 Grade5 MPa | Source: Titanium Metals Corp Data | Certainty: measured
Titanium Alloy ultimate strength: 950.00 Grade5 MPa (Extreme durability, near-zero plastic deformation before snapping) | Source: Titanium Metals Corp Data | Certainty: measured

Industrial Diamond yield strength: 0.00 MPa (Brittle structure) | Source: Properties of Diamond Database | Certainty: measured
Industrial Diamond ultimate strength: 2800.00 MPa (Highest scratch resistance; breaks under extreme direct hammer blows) | Source: Properties of Diamond Database | Certainty: measured

Carbon Fibre yield strength: 0.00 MPa (Composite baseline) | Source: Composite Materials Handbook | Certainty: measured
Carbon Fibre ultimate strength: 3500.00 MPa (Stiffer than steel at a fraction of the weight profile) | Source: Composite Materials Handbook | Certainty: measured

Graphene yield strength: 0.00 MPa (Mono-atomic layer) | Source: Physical Review Letters Data | Certainty: measured
Graphene ultimate strength: 130000.00 MPa (Theoretical ultimate layer; highest atomic binding resistance known) | Source: Physical Review Letters Data | Certainty: measured

Natural Vulcanized Rubber yield strength: 2.00 MPa | Source: Rubber Manufacturers Association | Certainty: approx
Natural Vulcanized Rubber ultimate strength: 20.00 MPa (Stretches up to 700% of original dimensions before failure) | Source: Rubber Manufacturers Association | Certainty: measured

Electrical Porcelain yield strength: 0.00 MPa (Brittle structural profile) | Source: Ceramic Engineering Handbooks | Certainty: approx
Electrical Porcelain ultimate strength: 40.00 MPa (Crumbles cleanly under high impact force inputs) | Source: Ceramic Engineering Handbooks | Certainty: approx

Fused Quartz Glass yield strength: 0.00 MPa | Source: Heraeus Quartz Material Data | Certainty: measured
Fused Quartz Glass ultimate strength: 50.00 MPa (Highly brittle electrical component layer) | Source: Heraeus Quartz Material Data | Certainty: measured

Teflon yield strength: 23.00 MPa | Source: DuPont Material Properties Data | Certainty: measured
Teflon ultimate strength: 48.00 MPa (Low friction structural face, strips threads easily if over-torqued) | Source: DuPont Material Properties Data | Certainty: measured

Bismuth yield strength: 15.00 MPa | Source: Rare Earth Metallurgy Data | Certainty: approx
Bismuth ultimate strength: 32.00 MPa (Highly brittle metal; shatters under low-velocity impacts) | Source: Rare Earth Metallurgy Data | Certainty: approx

Transformer Mineral Oil yield strength: 0.00 MPa (Liquid state) | Source: IEC 60296 Specification | Certainty: measured
Transformer Mineral Oil ultimate strength: 0.00 MPa (Yields instantly to all physical intersections) | Source: IEC 60296 Specification | Certainty: measured

Dry Ambient Air yield strength: 0.00 MPa (Gaseous state) | Source: NASA Atmospheric Science Data | Certainty: measured
Dry Ambient Air ultimate strength: 0.00 MPa (Displaces instantly upon any solid object intersection) | Source: NASA Atmospheric Science Data | Certainty: measured

// SYSTEM: ACOUSTIC ATTENUATION AND AUDIO STEALTH SIGNAL DECAY
// UNITS: Damping Coefficient (dB/m: decibel loss per metre of structural thickness at 1kHz spatial transmission)

Aerogel sound absorption: 120.0 dB/m | Source: NASA Jet Propulsion Laboratory | Certainty: measured
Styrofoam sound absorption: 45.0 dB/m | Source: Acoustical Materials Handbook | Certainty: approx
Oak Wood along grain sound absorption: 8.5 dB/m | Source: USDA Wood Handbook | Certainty: measured
Pure Water sound absorption: 0.06 dB/m | Source: National Physical Laboratory Ocean Acoustics | Certainty: measured
Concrete sound absorption: 12.0 dB/m | Source: ACI Acoustic Design Standards | Certainty: measured
Window Glass sound absorption: 4.0 dB/m | Source: Pilkington Glass Technical Data | Certainty: measured
Aluminium Alloy sound absorption: 0.15 dB/m | Source: ASM International Material Data | Certainty: approx
Pure Iron sound absorption: 0.22 dB/m | Source: Metal Properties Handbook | Certainty: approx
Pure Lead sound absorption: 35.0 dB/m (Heavy structural mass deadens sonic waves near-instantly) | Source: Lead Development Association | Certainty: measured
Pure Gold sound absorption: 0.35 dB/m | Source: Jewelry & Metal Physics Data | Certainty: approx
